factor_type,factor_value,multiplier,description
road_width,0-12,0.9,Narrow roads with limited access
road_width,12-20,1.0,Standard residential roads
road_width,20-30,1.1,Wide residential roads with good connectivity
road_width,30-40,1.2,Major roads with excellent connectivity
road_width,>40,1.3,Highway frontage or main arterial roads
nearby_schools,yes,1.1,Good schools within 2km radius
nearby_schools,no,1.0,No major schools in immediate vicinity
nearby_metro,yes,1.25,Metro station within 1km
nearby_metro,no,1.0,No metro connectivity
commercial_area,yes,1.15,Commercial hub or business district nearby
commercial_area,no,1.0,Primarily residential area
airport_proximity,<10km,1.2,Close to airport (less than 10km)
airport_proximity,10-25km,1.1,Moderate distance to airport
airport_proximity,>25km,1.0,Far from airport (more than 25km)
it_park_proximity,<5km,1.15,Close to IT parks or tech hubs
it_park_proximity,5-15km,1.05,Moderate distance to IT areas
it_park_proximity,>15km,1.0,Far from IT areas
hospital_proximity,<2km,1.08,Major hospital within 2km
hospital_proximity,2-5km,1.03,Hospital within 5km
hospital_proximity,>5km,1.0,No major hospital nearby
mall_proximity,<3km,1.06,Shopping mall within 3km
mall_proximity,3-8km,1.02,Mall within reasonable distance
mall_proximity,>8km,1.0,No major shopping center nearby
public_transport,excellent,1.12,Excellent public transport connectivity
public_transport,good,1.06,Good public transport options
public_transport,average,1.0,Average public transport
public_transport,poor,0.95,Limited public transport options
water_supply,24x7,1.05,24x7 municipal water supply
water_supply,regular,1.0,Regular municipal water supply
water_supply,irregular,0.95,Irregular water supply issues
power_supply,stable,1.03,Stable electricity with minimal cuts
power_supply,average,1.0,Average power supply
power_supply,poor,0.97,Frequent power cuts
parking_availability,ample,1.04,Ample parking spaces available
parking_availability,adequate,1.0,Adequate parking
parking_availability,limited,0.96,Limited parking availability
green_space,high,1.06,Parks and green spaces nearby
green_space,medium,1.02,Some green spaces in area
green_space,low,1.0,Limited green spaces
security,gated,1.08,Gated community with security
security,patrolled,1.04,Regular security patrols
security,basic,1.0,Basic security measures
security,none,0.96,No organized security
flood_risk,none,1.0,No flood risk history
flood_risk,low,0.98,Low flood risk area
flood_risk,medium,0.95,Medium flood risk
flood_risk,high,0.90,High flood risk area
air_quality,excellent,1.05,Excellent air quality
air_quality,good,1.02,Good air quality
air_quality,moderate,1.0,Moderate air quality
air_quality,poor,0.96,Poor air quality area
connectivity_highways,excellent,1.08,Excellent highway connectivity
connectivity_highways,good,1.04,Good highway access
connectivity_highways,average,1.0,Average highway connectivity
connectivity_highways,poor,0.96,Poor highway access
